,Latitude ,Longitude,City,Alcohol Places,Places of Worship,Places to shop,Food Places,Public Transport Places,Doctors,Public Places,Police Station,University ,Schools ,Banks,Night Clubs
0,40.87029394,-73.81214484,New York City,0,0,0,0,0,0,1,0,0,0,0,0
1,40.87415473,-73.81214484,New York City,0,0,0,0,2,0,1,0,0,0,0,0
2,40.87801552,-73.81214484,New York City,0,0,0,0,0,0,1,0,0,0,0,0
3,40.88187631,-73.81214484,New York City,0,0,0,0,0,0,0,0,0,0,0,0
4,40.8857371,-73.81214484,New York City,0,0,0,0,0,0,0,0,0,1,0,0
5,40.8085213,-73.80629462,New York City,1,0,5,2,19,1,0,0,1,1,1,0
6,40.81238209,-73.80629462,New York City,1,0,2,1,31,2,1,0,0,0,1,0
7,40.81624288,-73.80629462,New York City,0,0,6,4,40,1,2,0,0,0,2,0
8,40.82010367,-73.80629462,New York City,0,0,5,7,28,1,4,0,0,0,5,0
9,40.82396446,-73.80629462,New York City,0,0,4,0,2,6,2,0,0,0,2,0
10,40.82782525,-73.80629462,New York City,0,0,2,0,0,5,1,0,0,0,0,0
11,40.83168604,-73.80629462,New York City,0,0,0,0,0,0,0,0,0,0,0,0
12,40.83554683,-73.80629462,New York City,0,0,0,0,0,0,0,0,0,0,0,0
13,40.83940762,-73.80629462,New York City,0,0,0,0,0,0,0,0,0,0,0,0
14,40.84326841,-73.80629462,New York City,0,0,0,0,0,0,0,0,0,0,0,0
15,40.8471292,-73.80629462,New York City,0,0,0,0,0,0,0,0,0,0,0,0
16,40.85098999,-73.80629462,New York City,0,0,0,0,0,0,0,0,0,1,0,0
17,40.85485078,-73.80629462,New York City,0,0,0,0,0,0,0,1,0,1,0,0
18,40.85871157,-73.80629462,New York City,0,0,0,0,9,0,0,0,0,0,0,0
19,40.86257236,-73.80629462,New York City,0,0,1,1,9,0,0,0,0,0,0,0
20,40.86643315,-73.80629462,New York City,0,0,1,1,0,0,0,0,0,0,0,0
21,40.87029394,-73.80629462,New York City,0,0,0,0,4,0,2,0,0,0,0,0
22,40.87415473,-73.80629462,New York City,0,0,0,0,4,0,1,0,0,0,0,0
23,40.87801552,-73.80629462,New York City,0,0,0,0,2,0,0,0,0,0,0,0
24,40.88187631,-73.80629462,New York City,0,0,0,0,0,0,0,0,0,0,0,0
25,40.8857371,-73.80629462,New York City,0,0,0,0,0,1,0,0,0,0,1,0
26,40.8085213,-73.8004444,New York City,1,0,6,2,12,1,1,0,2,2,1,0
27,40.81238209,-73.8004444,New York City,1,0,5,2,25,2,0,0,2,2,1,0
28,40.81624288,-73.8004444,New York City,0,0,0,0,17,1,1,0,0,0,0,0
29,40.82010367,-73.8004444,New York City,0,0,0,0,8,1,0,0,0,0,0,0
30,40.82396446,-73.8004444,New York City,0,0,0,0,0,0,0,0,0,0,0,0
31,40.82782525,-73.8004444,New York City,0,0,0,0,0,0,0,0,0,0,0,0
32,40.83168604,-73.8004444,New York City,0,0,0,0,0,0,0,0,0,0,0,0
33,40.83554683,-73.8004444,New York City,0,0,0,0,0,0,0,0,0,0,0,0
34,40.83940762,-73.8004444,New York City,0,0,0,0,0,0,0,0,0,0,0,0
35,40.84326841,-73.8004444,New York City,0,0,0,0,0,0,0,0,0,0,0,0
36,40.8471292,-73.8004444,New York City,0,0,0,0,0,0,0,0,0,0,0,0
37,40.85098999,-73.8004444,New York City,0,0,0,0,0,0,0,1,0,1,0,0
38,40.85485078,-73.8004444,New York City,0,0,0,0,0,0,0,1,0,1,0,0
39,40.85871157,-73.8004444,New York City,0,0,0,0,9,0,0,0,0,0,0,0
40,40.86257236,-73.8004444,New York City,0,0,0,0,9,0,0,0,0,0,0,0
41,40.86643315,-73.8004444,New York City,0,0,0,0,2,0,1,0,0,0,0,0
42,40.87029394,-73.8004444,New York City,0,0,0,0,2,0,2,0,0,0,0,0
43,40.87415473,-73.8004444,New York City,0,0,0,0,2,0,0,0,0,0,0,0
44,40.87801552,-73.8004444,New York City,0,0,0,0,0,0,0,0,0,0,0,0
45,40.88187631,-73.8004444,New York City,0,0,0,0,0,0,0,0,0,0,0,0
46,40.8085213,-73.79459418,New York City,0,0,2,0,0,0,2,0,1,1,0,0
47,40.81238209,-73.79459418,New York City,0,0,0,0,0,0,0,0,0,0,0,0
48,40.81624288,-73.79459418,New York City,0,0,0,0,4,1,0,0,0,0,0,0
49,40.82010367,-73.79459418,New York City,0,0,0,0,0,0,0,0,0,0,0,0
50,40.82396446,-73.79459418,New York City,0,0,0,0,0,0,0,0,0,0,0,0
51,40.82782525,-73.79459418,New York City,0,0,0,0,0,0,0,0,0,0,0,0
52,40.83168604,-73.79459418,New York City,0,0,0,0,0,0,0,0,0,0,0,0
53,40.83554683,-73.79459418,New York City,0,0,0,0,0,0,0,0,0,0,0,0
54,40.83940762,-73.79459418,New York City,0,0,0,0,0,0,0,0,0,0,0,0
55,40.84326841,-73.79459418,New York City,0,0,0,0,0,0,0,0,0,0,0,0
56,40.8471292,-73.79459418,New York City,0,0,1,0,0,0,1,0,0,0,0,0
57,40.85098999,-73.79459418,New York City,5,0,6,8,12,1,1,0,0,0,5,0
58,40.85485078,-73.79459418,New York City,4,1,11,10,12,1,3,0,0,0,4,0
59,40.85871157,-73.79459418,New York City,0,0,6,6,2,0,3,0,0,0,3,0
60,40.86257236,-73.79459418,New York City,0,0,0,0,0,0,0,0,0,0,0,0
61,40.86643315,-73.79459418,New York City,0,0,0,0,2,0,1,0,0,0,0,0
62,40.87029394,-73.79459418,New York City,0,0,0,0,2,0,1,0,0,0,0,0
63,40.87415473,-73.79459418,New York City,0,0,0,0,0,0,0,0,0,0,0,0
64,40.87801552,-73.79459418,New York City,0,0,0,0,0,0,0,0,0,0,0,0
65,40.88187631,-73.79459418,New York City,0,0,0,0,0,4,1,0,0,0,0,0
66,40.8085213,-73.78874396,New York City,0,0,0,0,0,0,1,0,0,0,0,0
67,40.81238209,-73.78874396,New York City,0,0,0,0,0,0,0,0,0,0,0,0
68,40.81624288,-73.78874396,New York City,0,0,0,0,0,0,0,0,0,0,0,0
69,40.82010367,-73.78874396,New York City,0,0,0,0,0,0,0,0,0,0,0,0
70,40.82396446,-73.78874396,New York City,0,0,0,0,0,0,0,0,0,0,0,0
71,40.82782525,-73.78874396,New York City,0,0,0,0,0,0,0,0,0,0,0,0
72,40.83168604,-73.78874396,New York City,0,0,0,0,0,0,0,0,0,0,0,0
73,40.83554683,-73.78874396,New York City,0,0,0,0,0,1,0,0,0,0,0,0
74,40.83940762,-73.78874396,New York City,2,1,2,9,13,6,1,0,0,0,0,0
75,40.84326841,-73.78874396,New York City,4,1,28,12,23,7,6,0,0,2,4,1
76,40.8471292,-73.78874396,New York City,7,3,40,14,20,10,11,0,0,1,7,1
77,40.85098999,-73.78874396,New York City,10,4,27,17,25,8,7,0,0,0,6,1
78,40.85485078,-73.78874396,New York City,6,1,18,15,17,3,4,0,0,0,8,0
79,40.85871157,-73.78874396,New York City,0,1,6,6,7,0,3,0,0,0,3,0
80,40.86257236,-73.78874396,New York City,0,0,0,0,0,0,0,0,0,0,0,0
81,40.86643315,-73.78874396,New York City,0,0,0,0,0,0,0,0,0,0,0,0
82,40.87029394,-73.78874396,New York City,0,0,0,0,0,0,0,0,0,0,0,0
83,40.87415473,-73.78874396,New York City,0,0,0,0,0,0,1,0,0,0,0,0
84,40.87801552,-73.78874396,New York City,0,0,0,0,0,0,0,0,0,0,0,0
85,40.88187631,-73.78874396,New York City,0,0,0,0,0,0,1,0,0,0,0,0
86,40.8085213,-73.78289374,New York City,0,0,0,0,0,0,0,0,0,0,0,0
87,40.81238209,-73.78289374,New York City,0,0,0,0,0,0,0,0,0,0,0,0
88,40.81624288,-73.78289374,New York City,0,0,0,0,0,0,0,0,0,0,0,0
89,40.82010367,-73.78289374,New York City,0,0,0,0,0,0,0,0,0,0,0,0
90,40.82396446,-73.78289374,New York City,0,0,0,0,0,0,0,0,0,0,0,0
91,40.82782525,-73.78289374,New York City,0,0,0,0,0,0,0,0,0,0,0,0
92,40.83168604,-73.78289374,New York City,0,0,0,0,0,0,0,0,0,0,0,0
93,40.83554683,-73.78289374,New York City,2,0,0,7,5,1,0,0,0,0,0,0
94,40.83940762,-73.78289374,New York City,2,1,3,11,15,6,1,0,0,0,0,0
95,40.84326841,-73.78289374,New York City,5,1,25,14,25,9,7,0,0,2,4,0
96,40.8471292,-73.78289374,New York City,7,3,40,13,20,8,10,0,0,2,5,1
97,40.85098999,-73.78289374,New York City,3,2,34,3,7,8,5,0,0,0,1,0
98,40.85485078,-73.78289374,New York City,0,0,0,0,0,1,0,0,0,0,0,0
99,40.85871157,-73.78289374,New York City,0,0,0,0,0,0,0,0,0,0,0,0
