,Latitude ,Longitude,City,Alcohol Places,Places of Worship,Places to shop,Food Places,Public Transport Places,Doctors,Public Places,Police Station,University ,Schools ,Banks,Night Clubs
0,40.67339365,-74.04030342,New York City,0,0,0,0,0,0,0,0,0,0,0,0
1,40.70041918,-74.04030342,New York City,1,0,0,0,0,1,1,0,0,0,0,0
2,40.67339365,-74.0344532,New York City,0,0,0,0,0,0,0,0,0,0,0,0
3,40.67725444,-74.0344532,New York City,0,0,0,0,0,0,0,0,0,0,0,0
4,40.68111523,-74.0344532,New York City,0,0,0,0,0,0,0,0,0,0,0,0
5,40.68497602,-74.0344532,New York City,0,0,0,0,0,0,1,0,0,0,0,0
6,40.67339365,-74.02860298,New York City,0,0,0,0,0,0,0,0,0,0,0,0
7,40.67725444,-74.02860298,New York City,0,0,0,0,0,0,0,0,0,0,0,0
8,40.68111523,-74.02860298,New York City,0,0,0,0,0,0,0,0,0,0,0,0
9,40.68497602,-74.02860298,New York City,0,0,2,0,0,0,2,0,0,0,0,0
10,40.68883681,-74.02860298,New York City,0,0,0,0,0,0,2,0,0,0,0,0
11,40.6926976,-74.02860298,New York City,0,0,0,0,0,0,0,0,0,0,0,0
12,40.67339365,-74.02275276,New York City,0,0,12,3,0,1,3,0,0,0,0,0
13,40.67725444,-74.02275276,New York City,1,0,30,1,0,1,6,1,0,0,0,0
14,40.68111523,-74.02275276,New York City,0,0,3,0,0,0,1,1,0,0,0,0
15,40.68497602,-74.02275276,New York City,0,0,2,0,0,0,5,0,0,0,0,0
16,40.68883681,-74.02275276,New York City,0,0,3,1,0,0,6,0,0,2,0,0
17,40.6926976,-74.02275276,New York City,0,0,1,0,0,0,3,0,0,2,0,0
18,40.69655839,-74.02275276,New York City,0,0,0,0,0,0,0,0,0,0,0,0
19,40.70041918,-74.02275276,New York City,0,0,0,0,0,0,0,0,0,0,0,0
20,40.70427997,-74.02275276,New York City,2,0,1,5,12,3,7,0,0,1,0,0
21,40.70814076,-74.02275276,New York City,0,1,20,4,12,14,15,0,0,4,3,0
22,40.71200155,-74.02275276,New York City,0,0,4,2,0,11,3,0,0,0,0,0
23,40.71586234,-74.02275276,New York City,0,0,0,0,1,0,0,0,0,0,0,0
24,40.67339365,-74.01690254,New York City,9,1,62,16,13,6,10,0,0,0,1,1
25,40.67725444,-74.01690254,New York City,10,2,68,31,16,8,15,1,0,4,4,1
26,40.68111523,-74.01690254,New York City,3,1,36,3,0,0,3,1,0,4,0,0
27,40.68497602,-74.01690254,New York City,0,0,2,2,1,0,3,0,0,0,0,0
28,40.68883681,-74.01690254,New York City,0,0,1,2,1,0,6,0,0,3,0,0
29,40.6926976,-74.01690254,New York City,0,0,1,2,1,0,3,0,0,3,0,0
30,40.69655839,-74.01690254,New York City,0,0,0,0,1,0,0,0,0,0,0,0
31,40.70041918,-74.01690254,New York City,8,3,29,32,35,6,24,1,1,2,14,1
32,40.70427997,-74.01690254,New York City,23,8,122,75,43,61,88,3,8,20,40,5
33,40.70814076,-74.01690254,New York City,23,13,120,64,43,70,97,2,7,20,40,4
34,40.71200155,-74.01690254,New York City,20,7,128,52,32,41,68,0,2,12,28,1
35,40.71586234,-74.01690254,New York City,10,2,99,41,31,27,48,0,2,14,23,0
36,40.71972313,-74.01690254,New York City,0,1,18,9,20,21,29,0,1,10,3,0
37,40.72358392,-74.01690254,New York City,1,0,3,2,0,0,5,0,0,0,0,0
